asin,title,title_length,price,total_images,gallery_video_count,has_video,has_aplus,top_keywords,unique_keyword_count,total_word_count,sentiment_keywords,has_quality_words,has_material_words,has_benefit_words,quantity_sold_365days,classification,sku_type,rating_numeric,reviews_count_numeric
B07KT4MMRH,NOVICA Artisan Handcrafted Roman Glass Drop Earrings from Thailand Sterling Silver [0.9 in L x 0.3 in W] Roman Towers,20,79,8,1,TRUE,TRUE,"roman, novica, artisan, handcrafted, glass, drop, earrings, thailand, sterling, silver, towers",11,12,"artisan, handcrafted",TRUE,TRUE,FALSE,127,Jewelry,Basic Item,4.3,159
B0752655PP,Novica Artisan Handmade .925 Sterling Silver Meditation Spinner Ring From India Band 'Spinning Vines',14,47,8,1,TRUE,TRUE,"novica, artisan, handmade, 925, sterling, silver, meditation, spinner, ring, india, band, spinning, vines",13,13,"artisan, handmade",TRUE,FALSE,FALSE,11,Jewelry,Child,4.2,128
B01MSUT65F,"NOVICA Brown Hand Carved Suar Wood Lizard Door Stopper, 'Handy Gecko In Brown'",13,34,8,2,TRUE,TRUE,"wood, natural, hand, piece, novica, carved, door, stopper, each, work, art, animal, beauty, brown, suar, item, handmade, color, other, unique, crafted, nature, nengah, sudarsana, home, things, what, handy, gecko, variations",158,355,"natural, handmade, unique, crafted, quality, artisan, original, charming, create, creating, authentic, fair, trade, certified, story",TRUE,TRUE,TRUE,5,Decor Accessories,Basic Item,5,5
B00BSFC54A,NOVICA Artisan Handmade Natural Orchid Lariat Necklace Gold Plated from Thailand Flower Leaf No Stone Floral [34.5 in Inner Circ. 2 mm W Pendant(s) 0.9 in L x 0.8 in W x 0.7 in D] ' Scarlet Dancer',38,79,7,2,TRUE,TRUE,"gold, natural, necklace, orchid, novica, danai, chain, artist, lariat, plated, brass, handmade, thailand, pendant, ascocentrum, flashed, happiness, empowering, women, artisans, flower, inner, scarlet, dancer, tinted, hand, centers, graces, long, style",203,304,"natural, handmade, happiness, empowering, women, mission, preserving, local, impact, artisan, smooth, beautiful, purpose, celebrating, culture",TRUE,FALSE,FALSE,3,Jewelry,Basic Item,5,3
B01CTGSFJA,NOVICA Artisan Handmade Cultured Pearl Button Earrings White Sterling Silver Freshwater India Birthstone [0.7 in L x 0.7 in W x 0.3 in D] ' Regal Aura',27,104,8,1,TRUE,TRUE,"novica, artisan, handmade, cultured, pearl, button, earrings, white, sterling, silver, freshwater, india, birthstone, regal, aura",15,15,"artisan, handmade",TRUE,FALSE,FALSE,16,Jewelry,Basic Item,4.5,48
B07F2NKZPR,NOVICA Artisan Handcrafted 24k Gold Vermeil Band Ring Elephant Thailand .925 Sterling Silver Plated Animal Themed 'Pachyderm Party',18,59,7,1,TRUE,TRUE,"novica, artisan, handcrafted, 24k, gold, vermeil, band, ring, elephant, thailand, 925, sterling, silver, plated, animal, themed, pachyderm, party",18,18,"artisan, handcrafted",TRUE,FALSE,FALSE,1,Jewelry,Child,3.9,9
B07TCMG5P7,NOVICA Artisan Handmade Ceramic Decorative Vase Dark Brown Chorotega Pottery Round Costa Rica Vases Painted Cultural [4.7in H x 4.7in Diam.] ' Nicoya' S Earth',25,37,7,2,TRUE,TRUE,"artisans, novica, world, handmade, decorative, artisan, customers, better, time, item, where, love, visit, store, what, ceramic, vases, 7in, diam, mission, happy, products, page, create, future, unique, honored, less, works, quality",132,196,"handmade, artisan, better, love, mission, happy, create, unique, quality, cultural, earth, happiness, improve, impact, dream",TRUE,TRUE,TRUE,1,Vases,Basic Item,,
B072YSLHWY,NOVICA Artisan Handmade Sterling Silver Drop Earrings Geometric from Peru [1.8 in L x 0.5 in W] ' Pentagon Mystery',20,59,9,0,FALSE,FALSE,"silver, peru, what, novica, handmade, sterling, drop, earrings, pentagon, world, leslie, art, design, jewelry, love, artisan, geometric, mystery, works, together, talented, artists, artisans, designers, around, produce, stunning, keepsake, treasures, mantra",88,106,"handmade, love, artisan, stunning, happiness, happy, enjoy, crafted, natural, create",TRUE,FALSE,FALSE,1,Jewelry,Basic Item,,
B01CTGSJ0K,NOVICA Artisan Handmade Garnet Tennis Bracelet 21 Carat in Sterling Silver Red Stretch Link Style India Aurora Birthstone [7.75 in L x 0.3 in W] ' Scarlet Radiance',28,164,7,1,TRUE,TRUE,"garnet, sterling, silver, novica, handmade, tennis, bracelet, red, india, birthstone, scarlet, natural, designs, artisan, carat, stretch, link, style, aurora, radiance, works, together, talented, artists, artisans, designers, around, world, produce, stunning",81,97,"handmade, natural, artisan, stunning, happiness, happy, create, inspired, journey",TRUE,FALSE,FALSE,1,Jewelry,Basic Item,5,1
B07V5N5PJP,NOVICA Artisan Handmade Garnet Cocktail Ring .925 Sterling Silver from Bali Single Stone Indonesia Birthstone 'Buddha Sparkle',17,99,9,0,FALSE,FALSE,"ring, novica, handmade, garnet, cocktail, sterling, silver, bali, stone, buddha, band, artisan, 925, single, indonesia, birthstone, sparkle, works, together, talented, artists, artisans, designers, around, world, produce, stunning, keepsake, treasures, mantra",57,69,"handmade, artisan, stunning, happiness, happy, natural",TRUE,FALSE,FALSE,1,Jewelry,Child,5,1
B07Z44FMYJ,NOVICA Artisan Handmade .925 Sterling Silver Cocktail Ring Carved Bone Face Indonesia Moon 'Serene Repose',15,64,8,1,TRUE,TRUE,"novica, artisan, handmade, 925, sterling, silver, cocktail, ring, carved, bone, face, indonesia, moon, serene, repose",15,15,"artisan, handmade",TRUE,FALSE,FALSE,2,Jewelry,Child,4.7,3
B0BR59B7ZZ,NOVICA Artisan Handmade Sterling Silver Band Ring Leaf Tree No Stone Indonesia [band Width 8 mm W] 'Flourishing Foliage',19,41,8,1,TRUE,TRUE,"band, novica, artisan, handmade, sterling, silver, ring, leaf, tree, stone, indonesia, width, flourishing, foliage",14,15,"artisan, handmade",TRUE,FALSE,FALSE,16,Jewelry,Child,4.5,415
B09KV4QDG9,NOVICA Artisan Handmade Ceramic Wall Accent Painted Sun Multicolor Mexico Decor Art Talavera [11.75in H x 12.25in W x 2in D] ' Glorious Sun',24,39,7,1,TRUE,TRUE,"ceramic, novica, artisan, item, pieces, each, handmade, sun, talavera, crafted, ivan, martinez, creating, beautiful, wall, accent, painted, mexico, size, artisans, using, traditional, quality, works, style, hand, high, color, very, colorful",148,204,"artisan, handmade, crafted, creating, beautiful, traditional, quality, family, authentic, exceptional, craftsmanship, stunning, happiness, happy, delightful",TRUE,TRUE,FALSE,2,Wall Decor,Basic Item,,
B00817V0DA,"NOVICA Decorative Modern Hibiscus Wood Mask, Brown, 'Hear No Evil'",10,46,6,0,FALSE,FALSE,"artisans, novica, world, where, decorative, hibiscus, wood, happy, customers, better, love, visit, store, what, mask, hear, evil, mission, spread, happiness, handmade, products, page, create, future, time, item, unique, wall, masks",176,246,"happy, better, love, mission, happiness, handmade, create, unique, improve, impact, dream, stories, respect, empower, preserve",TRUE,TRUE,TRUE,6,Masks,Basic Item,5,3
B0051HC1XQ,NOVICA Artisan Handcrafted Moonstone Dangle Earrings Sterling Silver White Drop India Good Fortune Birthstone [1.2 in L x 0.4 in W] ' Moonlight Delight',24,89,8,1,TRUE,TRUE,"novica, artisan, handcrafted, moonstone, dangle, earrings, sterling, silver, white, drop, india, good, fortune, birthstone, moonlight, delight",16,16,"artisan, handcrafted, delight",TRUE,FALSE,FALSE,14,Jewelry,Basic Item,3.5,21
B07J163QLR,NOVICA Artisan Handmade Gold Plated Garnet Dangle Earrings 22k 10carat from India Sterling Silver Birthstone Gemstone [1.4 in L x 0.6 in W x 0.2 in D] ' Regal Dance',30,139,9,0,FALSE,FALSE,"novica, artisan, handmade, gold, plated, garnet, dangle, earrings, 22k, 10carat, india, sterling, silver, birthstone, gemstone, regal, dance",17,17,"artisan, handmade",TRUE,FALSE,FALSE,1,Jewelry,Basic Item,,
B00012NU7C,NOVICA Artisan Handmade Sterling Silver Chain Necklace Indonesia Balinese Traditional [22 in L x 0.1 in W] ' Rice Seeds',20,29,6,0,FALSE,FALSE,"novica, artisan, handmade, sterling, silver, chain, necklace, indonesia, balinese, traditional, rice, seeds",12,12,"artisan, handmade, traditional",TRUE,FALSE,FALSE,1,Jewelry,Basic Item,5,2
B07J15P2JJ,"NOVICA Large Hand Crafted Wood Mask, Brown and Ivory 'Dynamic Cheer'",11,46,7,1,TRUE,TRUE,"mask, brown, wood, cream, face, bright, red, triangles, novica, large, hand, crafted, ivory, dynamic, cheer, christopher, nyasafo, ghana, designs, unique, intriguing, decorative, wall, handcrafted, out, sese, painted, dark, accented, colored",59,70,"crafted, unique, handcrafted",TRUE,TRUE,FALSE,1,Masks,Basic Item,,
B06XJZT4LY,"NOVICA Blue Fuchsia Pink Hand Woven Nylon Mayan 1 Person Rope Hammock With Hanging Accessories, 'Iridescent Tropics' (Single)",18,38,8,2,TRUE,TRUE,"hammock, maya, yucatan, hand, hammocks, comfortable, nylon, woven, hanging, hooks, preferred, handmade, due, considered, work, art, long, blue, fuchsia, accessories, iridescent, friend, unique, item, artisans, weaving, techniques, while, time, tradition",162,370,"comfortable, handmade, unique, tradition, loving, original, easy, crafted, traditional, create, preserve, luxury, support",TRUE,TRUE,TRUE,2,Hammocks,Basic Item,5,2
B00011V1JW,NOVICA Handmade 925 Sterling Silver Bangle Bracelet Indonesia '21 Balls',10,56,6,0,FALSE,FALSE,"novica, handmade, 925, sterling, silver, bangle, bracelet, indonesia, balls",9,9,handmade,TRUE,FALSE,FALSE,1,Jewelry,Basic Item,,
B094N31JDB,NOVICA Artisan Handmade Marble Onyx Mini Chess Set Mexican White Charcoal Grey Stone Mexico Sets Games [0.4in H x 7.5in W x 7.5in D Largest Piece 1.4in H x 0.6in Diam. Smallest Piece 1in H x 0.6in Di],38,,8,1,TRUE,TRUE,"4in, 5in, piece, 6in, novica, artisan, handmade, marble, onyx, mini, chess, set, mexican, white, charcoal, grey, stone, mexico, sets, games, largest, diam, smallest, 1in",24,28,"artisan, handmade",TRUE,FALSE,FALSE,1,Chess Sets & Games,Basic Item,,
B07YSWY1V1,NOVICA Artisan Handmade .925 Sterling Silver Meditation Spinner Ring Band Indonesia 'Infinity Path',13,54,8,1,TRUE,TRUE,"novica, artisan, handmade, 925, sterling, silver, meditation, spinner, ring, band, indonesia, infinity, path",13,13,"artisan, handmade",TRUE,FALSE,FALSE,9,Jewelry,Child,4.2,103
B074MK9MCC,NOVICA Artisan Handcrafted .925 Sterling Silver Band Ring from Bali Indonesia 'Lavish Bali',13,49,9,0,FALSE,FALSE,"bali, novica, artisan, handcrafted, 925, sterling, silver, band, ring, indonesia, lavish",11,12,"artisan, handcrafted",TRUE,FALSE,FALSE,1,Jewelry,Child,3.4,2
B07J1HSZTX,NOVICA Handmade Ebony Wood Statuette Gye Nyame Adinkra from Ghana Brown Black Wood Sculpture Cultural [7.75in H x 5.75in W x 2.8in D] 'Elegant Gye Nyame',26,57,8,2,TRUE,TRUE,"novica, wood, handmade, ebony, gye, nyame, 75in, item, artisan, quality, statuette, adinkra, ghana, brown, black, sculpture, cultural, 8in, elegant, size, artisans, using, time, honored, traditional, methods, includes, official, card, certifying",40,52,"handmade, artisan, quality, cultural, elegant, traditional, authentic, crafted, exceptional, craftsmanship",TRUE,TRUE,FALSE,2,Sculpture,Basic Item,4.3,2
B01FT8WPP0,NOVICA Artisan Handmade Sterling Silver Cross Pendant Necklace Artisan Crafted on Curb Link Chain Thailand Religious [18.5 in L 2 mm W Pendant(s) 1.4 in L x 0.9 in W] ' The Cross',33,74,7,0,FALSE,FALSE,"artisan, cross, pendant, novica, handmade, sterling, silver, necklace, crafted, curb, link, chain, thailand, religious",14,17,"artisan, handmade, crafted",TRUE,FALSE,FALSE,1,Jewelry,Basic Item,,
B06XQ5XHNL,NOVICA Artisan Sterling Silver Ear Cuffs Heart Artisan Crafted Thailand [0.2 in L x 0.6 in W] ' Demure Hearts',20,19,8,1,TRUE,TRUE,"artisan, novica, sterling, silver, ear, cuffs, heart, crafted, thailand, demure, hearts",11,12,"artisan, crafted",TRUE,FALSE,FALSE,3,Jewelry,Basic Item,4.2,8
B081G6H54Q,NOVICA Artisan Handmade Amethyst Cocktail Ring .925 Sterling Silver Balinese Floral with Purple Single Stone Indonesia Birthstone 'Orchids and Frangipani',20,49,8,0,FALSE,FALSE,"novica, handmade, amethyst, ring, sterling, silver, orchids, frangipani, artisan, cocktail, 925, balinese, floral, purple, single, stone, indonesia, birthstone, works, together, talented, artists, artisans, designers, around, world, produce, stunning, keepsake, treasures",63,71,"handmade, artisan, stunning, happiness, happy, crafted, beautiful, original",TRUE,FALSE,FALSE,1,Jewelry,Child,,
B00LXGYA1A,NOVICA Oheneba Baa Wood Wall Decor,6,26,4,1,TRUE,TRUE,"artisans, novica, wood, world, wall, customers, better, where, love, visit, store, what, sese, oheneba, baa, decor, mission, happy, handmade, products, page, create, future, time, item, hand, unique, less, fair, trade",163,227,"better, love, mission, happy, handmade, create, unique, fair, trade, happiness, improve, impact, dream, stories, respect",TRUE,TRUE,TRUE,1,Wall Decor,Basic Item,5,1
B01CTGT454,NOVICA Artisan Handmade Citrine Dangle Earrings .925 Silver with Composite Turquoise Sterling Reconstituted Blue India Birthstone [1.5 in L x 0.4 in W x 0.2 in D] ' Golden Sky',30,69,7,1,TRUE,TRUE,"earrings, silver, sterling, india, novica, handmade, citrine, 925, composite, turquoise, golden, shanker, farming, family, artisan, dangle, reconstituted, blue, birthstone, sky, works, together, talented, artists, artisans, designers, around, world, produce, stunning",75,93,"handmade, family, artisan, stunning, happiness, happy, planet, elegant, crafted, tradition, inspired, support",TRUE,FALSE,FALSE,1,Jewelry,Basic Item,5,2
B0752BNDHQ,NOVICA Artisan Handmade Marcasite Band Ring .925 Sterling Silver from Thailand Grey 'Glistening Road',14,22,8,1,TRUE,TRUE,"novica, artisan, handmade, marcasite, band, ring, 925, sterling, silver, thailand, grey, glistening, road",13,13,"artisan, handmade",TRUE,FALSE,FALSE,3,Jewelry,Child,3.8,57
B01H2JD3EQ,"NOVICA Artisan Crafted Quartz Dangle Earrings | Sterling Silver Orange Glass Bead | Long Copper Wire | Lead & Nickel Free | Dyed Quartz Birthstone | Thailand 'Garden Bliss in Orange' 1.4"" L x 0.6"" W",36,27,8,1,TRUE,TRUE,"quartz, orange, novica, artisan, crafted, dangle, earrings, sterling, silver, glass, bead, long, copper, wire, lead, nickel, free, dyed, birthstone, thailand, garden, bliss",22,24,"artisan, crafted",TRUE,TRUE,FALSE,27,Jewelry,Basic Item,4.4,4
B016PYQ4XQ,NOVICA Artisan Handmade Sterling Silver Locket Pendant Square Artisan Crafted Jewelry Prayer Box India Bohemian [1.2 in L x 0.5 in W x 0.5 in D] ' Prayer Box',29,84,7,1,TRUE,TRUE,"prayer, box, silver, novica, artisan, handmade, sterling, locket, jewelry, india, bhavesh, pendant, square, crafted, bohemian, works, together, talented, artists, artisans, designers, around, world, produce, stunning, keepsake, treasures, mantra, spread, happiness",81,98,"artisan, handmade, crafted, stunning, happiness, happy, designed, family, tradition, traditional",TRUE,FALSE,FALSE,2,Jewelry,Basic Item,,
B094N384KW,NOVICA Handmade African Wood Mask Black White from Ghana 'Round Zebra',11,52,7,0,FALSE,FALSE,"artisans, novica, world, handmade, mask, love, wood, happy, customers, better, time, item, where, visit, store, wall, what, african, black, white, round, mission, spread, happiness, products, page, started, create, future, hand",192,273,"handmade, love, happy, better, mission, happiness, create, unique, improve, impact, dream, stories, respect, empower, preserve",TRUE,TRUE,TRUE,1,Masks,Basic Item,4.4,
B00C7XZV1G,NOVICA Artisan Handmade Silk Shawl Purple Crafted Thai Raw Accessories Shawls Mauve Mist Amethyst Orchid Patterned Thailand ' Bold Lily',20,,4,0,FALSE,FALSE,"artisans, novica, world, shawl, name, handmade, love, batik, what, very, work, silk, happy, customers, create, better, where, unique, visit, store, works, colors, purple, raw, bold, mission, spread, happiness, products, page",245,345,"handmade, love, happy, create, better, unique, mission, happiness, beautiful, artisan, crafted, improve, impact, dream, stories",TRUE,FALSE,TRUE,1,Accessories,Basic Item,,
B081TLKF8Q,NOVICA Artisan Handcrafted Ceramic Vase Curvy Talaverastyle in Mexico Multicolor Vases Floral Painted Hacienda [13.5in H x 6.5in Diam.] ' Colorful Curves',22,59,8,2,TRUE,TRUE,"artisans, novica, world, artisan, customers, handmade, better, time, item, where, love, decorative, visit, store, what, ceramic, vases, 5in, diam, mission, happy, products, page, create, future, unique, honored, less, works, quality",131,193,"artisan, handmade, better, love, mission, happy, create, unique, quality, handcrafted, happiness, improve, impact, dream, stories",TRUE,TRUE,TRUE,29,Vases,Basic Item,5,9
B08NC5SLGN,NOVICA Artisan Handmade Blue Topaz Dangle Earrings Ribbon Pattern from Bali Sterling Silver Indonesia Birthstone Gemstone [2 in L x 0.6 in W x 0.2 in D] ' Sparkling Crest',30,59,7,0,FALSE,FALSE,"silver, artisan, sterling, want, novica, handmade, blue, topaz, dangle, earrings, ribbon, indonesia, crest, two, gemstones, balinese, giri, tasmana, work, father, began, use, designs, pattern, bali, birthstone, gemstone, sparkling, works, together",109,140,"artisan, handmade, stunning, happiness, happy, inspire, preserve, traditional",TRUE,FALSE,FALSE,1,Jewelry,Basic Item,,
B000F3NO3W,NOVICA Artisan Handmade Reverse Painted Glass Mirror Collectible Metallic Glasswood Peru Wall Decor Mirrors Floral 1001 Summer Nights Traditional [frame 17.25in H x 17.25in W x 0.8in D Mirror 9in W X],32,129,8,2,TRUE,TRUE,"artisans, novica, world, handmade, wall, customers, better, where, love, visit, store, what, mirror, mirrors, 25in, mission, happy, products, page, create, future, time, unique, decorative, less, artisan, reverse, painted, glass, collectible",117,168,"handmade, better, love, mission, happy, create, unique, artisan, traditional, happiness, improve, impact, dream, stories, respect",TRUE,TRUE,TRUE,4,Mirrors,Basic Item,5,2
B079SM7YD2,"NOVICA Artisan Handcrafted Glass Beaded Wrap Bracelet | Petite Glass | Nylon Cord | Colorful Wrap | Pewter Button | Cultural Heritage | Glass Beads | Guatemala ' Country Land' 22"" L x 0.5"" W",35,69,8,1,TRUE,TRUE,"glass, wrap, novica, artisan, handcrafted, beaded, bracelet, petite, nylon, cord, colorful, pewter, button, cultural, heritage, beads, guatemala, country, land",19,22,"artisan, handcrafted, cultural, heritage",TRUE,TRUE,FALSE,8,Jewelry,Basic Item,5,2
B07523PTHQ,NOVICA Artisan Handmade Jade Flower Ring Guatemalan Crafted Lilac .925 Sterling Silver Single Stone Cocktail Floral 'Lilac Dahlia',18,79,8,1,TRUE,TRUE,"lilac, sterling, silver, novica, handmade, jade, ring, 925, cocktail, beautiful, artisan, flower, guatemalan, crafted, single, stone, floral, dahlia, works, together, talented, artists, artisans, designers, around, world, produce, stunning, keepsake, treasures",50,63,"handmade, beautiful, artisan, crafted, stunning, happiness, happy",TRUE,FALSE,FALSE,1,Jewelry,Child,4,6
B07Z45CW4Y,NOVICA Artisan Handmade Rhodium Plated Amethyst Singlestone Ring from India .925 Sterling Silver Cocktail Solitaire Birthstone 'Fascinating Glamour',18,62,9,0,FALSE,FALSE,"ring, sterling, silver, jewelry, novica, artisan, handmade, rhodium, amethyst, india, artisans, around, everything, sehal, agarwal, stone, elegant, college, working, plated, singlestone, 925, cocktail, solitaire, birthstone, fascinating, glamour, works, together, talented",102,125,"artisan, handmade, elegant, stunning, happiness, happy, handcrafted, designed, love, natural, inspire",TRUE,TRUE,FALSE,1,Jewelry,Child,,
B07WWHKGHM,NOVICA Artisan Handmade .925 Sterling Silver Cocktail Ring Sea Turtle from Bali Indonesia Animal Themed 'Elegant Sea Turtle',18,69,8,1,TRUE,TRUE,"sea, turtle, novica, artisan, handmade, 925, sterling, silver, cocktail, ring, bali, indonesia, animal, themed, elegant",15,17,"artisan, handmade, elegant",TRUE,FALSE,FALSE,2,Jewelry,Child,4.3,18
B0752B8CL4,NOVICA Artisan Handmade .925 Sterling Silver Meditation Spinner Ring Copper Brass Indian Spiral 'Spinning Clouds',15,99,8,1,TRUE,TRUE,"novica, artisan, handmade, 925, sterling, silver, meditation, spinner, ring, copper, brass, indian, spiral, spinning, clouds",15,15,"artisan, handmade",TRUE,FALSE,FALSE,2,Jewelry,Child,4.4,27
B06XQ14SB6,"NOVICA Cobalt Spiral' Rocks Glasses Set Of 6, 3.9"" Tall, Blue Clear",12,63,8,2,TRUE,TRUE,"artisans, novica, world, hand, glasses, blown, blue, clear, customers, better, where, love, visit, store, what, cobalt, rocks, set, mission, happy, handmade, products, page, create, future, time, unique, less, mexico, handblown",120,186,"better, love, mission, happy, handmade, create, unique, happiness, improve, impact, dream, stories, respect, empower, preserve",TRUE,TRUE,TRUE,12,Tableware & Entertaining,Basic Item,4.5,109
B079SMJ9VL,NOVICA Artisan Handmade Sterling Silver Filigree Dangle Earrings Leaf from Peru No Stone Tree [1.6 in L x 0.6 in W x 0.1 in D] ' Spiraling Veins',28,44,8,0,FALSE,FALSE,"peru, jose, his, work, jewelry, novica, handmade, sterling, silver, filigree, dangle, earrings, spiraling, veins, luis, pariona, designs, using, born, small, when, uncle, workshop, artisan, leaf, stone, tree, works, together, talented",141,169,"handmade, artisan, stunning, happiness, happy, handcrafted, beautiful, village, helping, dedication, enjoy, creating, inspired, natural, cultural",TRUE,FALSE,FALSE,1,Jewelry,Basic Item,,
